Lücken-ID,Beschreibung,Anforderungsreferenz,Aktueller Status,Auswirkung,Priorität,Eigentümer,Fälligkeitsdatum,Status,Kommentare
GAP-01,"HTTP-Health- und Metrics-Endpunkte fehlen im aktiven Laufzeitpfad; Docker und Prometheus erwarten sie jedoch.","ISO/IEC 27001:2022 Annex A.8.16; ITIL 4 Monitoring and Event Management","Offen - Helper-Module vorhanden, aber nicht exponiert","Healthchecks und Scraping funktionieren nicht belastbar; unbeaufsichtigter Betrieb ist nicht freigabefähig.",P1,"Backend + DevOps",2026-06-12,Offen,"Belege: main.py; config.py; core/health.py; core/metrics.py; Dockerfile; docker-compose.yml; monitoring/prometheus.yml"
GAP-02,"Monitoring- und Alerting-Stack ist fehlverdrahtet; Regeln, Mounts und Metriknamen sind inkonsistent.","ISO/IEC 27001:2022 Annex A.8.16; ITIL 4 Event Management","Offen - Stack definiert, aber nicht konsistent lauffähig","Alerts und Monitoring bleiben selbst nach Endpoint-Exposure unzuverlässig oder funktionslos.",P1,"DevOps + SRE",2026-06-12,Offen,"Belege: docker-compose.yml; monitoring/prometheus.yml; monitoring/alertmanager_rules.yml; core/metrics.py"
GAP-03,"requirements.in und die kompilierten requirements-Dateien sind inkonsistent; getestete Umgebung und ausgelieferte Umgebung koennen auseinanderlaufen.","NIST SSDF 1.1 PW.4; ISO/IEC 27001:2022 Annex A.8.9","Offen - deklarative und kompilierte Dependencies driften","Reproduzierbare Clean Builds sind nicht gesichert; lokale Erfolgslaeufe koennen trügerisch sein.",P1,"Backend / Build",2026-06-12,Offen,"Belege: requirements.in; requirements.txt; requirements-dev.txt; tests/test_metrics.py; tests/test_two_factor.py"
GAP-04,"README, CHANGELOG, Ops-Doku und bestehende Audit-Artefakte sind nicht mehr durchgehend Source of Truth.","ISO/IEC 27001:2022 Annex A.5.37; NIST SSDF 1.1 PO.3","Offen - mehrere Dokumente enthalten veraltete Versions-, Test- oder Betriebsangaben","Onboarding, Betrieb und Management-Reporting koennen auf falschen Annahmen basieren.",P2,"Tech Lead + Maintainer",2026-06-12,Offen,"Belege: README.md; CHANGELOG.md; pyproject.toml; docs/operations.md; docs/audit/"
GAP-05,"Default-Bitget-Pfad nutzt kein aktives Rate Limiting, obwohl Konfiguration und Implementierung vorhanden sind.","ISO/IEC 27001:2022 Annex A.8.16; ITIL 4 Availability and Capacity Management","Offen - Rate Limiter existiert, wird aber im Default-Pfad nicht injiziert","API-Drosselung und instabiles Verhalten bleiben im Regelbetrieb moeglich.",P1,"Backend",2026-06-12,Offen,"Belege: config.py; adapters/rate_limiter.py; exchanges/bitget_rest.py; exchanges/factory.py; main.py"
GAP-06,"Mehrere Safety- und Execution-Kontrollen sind implementiert und getestet, aber nicht im Main-Pfad verdrahtet.","ISO/IEC 27001:2022 Annex A.8.28; NIST SSDF 1.1 PW.5","Offen - Kontrollbausteine existieren nur neben dem Default-Laufzeitpfad","Die getestete Kontrolllandschaft stimmt nicht mit dem aktiven Produktionspfad ueberein.",P1,"Tech Lead + Backend",2026-06-26,Offen,"Belege: main.py; trading/safety_gateway.py; trading/portfolio_circuit_breaker.py; execution/order_executor.py; execution/shadow_executor.py"
GAP-07,"2FA ist fuer einen kuenftigen Live-Pfad latent und aktuell fail-open, wenn kein TOTP-Secret gesetzt ist.","ISO/IEC 27001:2022 Annex A.5.17 und A.5.18","Offen - Kontrolle ist nicht produktiv wirksam und nicht fail-closed","Kuenftige Live-Aktivierung waere ohne Haertung nicht ausreichend abgesichert.",P3,"Security + Backend",2026-07-10,Offen,"Belege: core/two_factor.py; main.py; tests/test_two_factor.py"
GAP-08,"Certificate Pinning ist in der Standardkonfiguration wirkungslos und im Default-Laufzeitpfad nicht erzwungen.","ISO/IEC 27001:2022 Annex A.8.24; NIST SSDF 1.1 PS.2","Offen - Modul vorhanden, aber ohne aktive Pins","Die vorhandene Sicherheitsfaehigkeit liefert im Standardzustand keinen belastbaren Mehrwert.",P3,"Security",2026-07-10,Offen,"Belege: core/ssl_context.py; exchanges/bitget_rest.py; tests/test_ssl_context.py"
GAP-09,"Task-Handling, Bridge- und WebSocket-Pfade sind nur teilweise implementiert oder Platzhalter.","ITIL 4 Service Design; NIST SSDF 1.1 PO.3","Offen - Scope und Reifegrad sind uneinheitlich sichtbar","Feature-Reife und Betriebsverhalten dieser Nebenpfade sind fuer Betreiber nicht eindeutig.",P3,"Produkt + Backend",2026-07-10,Offen,"Belege: adapters/task_handler.py; integrations/freqtrade_bridge.py; exchanges/market_stream.py"
GAP-10,"Backup- und Recovery-Faehigkeit ist dokumentiert, aber nicht end-to-end validiert; benoetigte Runtime-Tools sind im Zielimage nicht explizit nachgewiesen.","ISO/IEC 27001:2022 Annex A.5.30; ITIL 4 Service Continuity; NIST SP 800-61 Rev. 2","Teilweise - Skript und Runbook vorhanden, Restore-Drill nicht nachgewiesen","Die dokumentierte Wiederanlaufstrategie ist ohne Durchstichstest nicht belastbar.",P2,"DevOps + Ops",2026-06-26,Offen,"Belege: scripts/backup.sh; docs/recovery.md; docs/operations.md; Dockerfile; Annahme: Tool-Verfuegbarkeit im finalen Image nicht extern validiert"
GAP-11,"Der Audit-Trail ist nur teilweise vollstaendig; Queue-Flush-, Block- und Kontrollpfade werden nicht systematisch persistiert.","ISO/IEC 27001:2022 Annex A.8.15 und A.8.16","Teilweise - erfolgreiche Publishes und bot_start/bot_stop werden erfasst","Root-Cause-Analyse und Governance verlieren Genauigkeit in Neben- und Fehlerpfaden.",P2,"Backend + Compliance/Tech Lead",2026-06-26,Offen,"Belege: adapters/signal_publisher.py; storage/sqlite_repository.py; main.py; execution/execution_audit.py"
GAP-12,"Security-Scans in der CI sind advisory statt blockierend; Secret- und Container-Scanning fehlen im gelesenen Workflow.","NIST SSDF 1.1 PW.7 und RV.1","Offen - Security-Job ist continue-on-error","Sicherheitsbefunde koennen in die Hauptlinie gelangen, ohne Builds technisch zu stoppen.",P2,"DevOps + Security",2026-06-26,Offen,"Belege: .github/workflows/ci.yml"
